city,station_ids,station_names
Palwal ,['site_5050'],"['Shyam Nagar, Palwal - HSPCB']"
Pithampur,['site_1402'],"['Sector-2 Industrial Area, Pithampur - MPPCB']"
Aurangabad,"['site_5544', 'site_5788', 'site_198', 'site_5789']","['Gurdeo Nagar, Aurangabad - BSPCB', 'MIDC Chilkalthana, Aurangabad - MPCB', 'More Chowk Waluj, Aurangabad - MPCB', 'Rachnakar Colony, Aurangabad - MPCB']"
Delhi,"['site_5024', 'site_301', 'site_1420', 'site_108', 'site_1560', 'site_104', 'site_103', 'site_5393', 'site_118', 'site_1421', 'site_1422', 'site_106', 'site_114', 'site_117', 'site_1423', 'site_1424', 'site_5395', 'site_109', 'site_1425', 'site_122', 'site_1561', 'site_115', 'site_1427', 'site_1426', 'site_1429', 'site_5852', 'site_105', 'site_1428', 'site_1431', 'site_125', 'site_1563', 'site_107', 'site_124', 'site_1430', 'site_113', 'site_119', 'site_1432', 'site_1562', 'site_1435', 'site_1434']","['Alipur, Delhi - DPCC', 'Anand Vihar, Delhi - DPCC', 'Ashok Vihar, Delhi - DPCC', 'Aya Nagar, Delhi - IMD', 'Bawana, Delhi - DPCC', 'Burari Crossing, Delhi - IMD', 'CRRI Mathura Road, Delhi - IMD', 'Chandni Chowk, Delhi - IITM', 'DTU, Delhi - CPCB', 'Dr. Karni Singh Shooting Range, Delhi - DPCC', 'Dwarka-Sector 8, Delhi - DPCC ', 'IGI Airport (T3), Delhi - IMD', 'IHBAS, Dilshad Garden, Delhi - CPCB', 'ITO, Delhi - CPCB', 'Jahangirpuri, Delhi - DPCC', 'Jawaharlal Nehru Stadium, Delhi - DPCC', 'Lodhi Road, Delhi - IITM', 'Lodhi Road, Delhi - IMD', 'Major Dhyan Chand National Stadium, Delhi - DPCC', 'Mandir Marg, Delhi - DPCC', 'Mundka, Delhi - DPCC', 'NSIT Dwarka, Delhi - CPCB', 'Najafgarh, Delhi - DPCC', 'Narela, Delhi - DPCC', 'Nehru Nagar, Delhi - DPCC', 'New Moti Bagh, Delhi - MHUA', 'North Campus, DU, Delhi - IMD', 'Okhla Phase-2, Delhi - DPCC', 'Patparganj, Delhi - DPCC', 'Punjabi Bagh, Delhi - DPCC', 'Pusa, Delhi - DPCC', 'Pusa, Delhi - IMD', 'R K Puram, Delhi - DPCC', 'Rohini, Delhi - DPCC', 'Shadipur, Delhi - CPCB', 'Sirifort, Delhi - CPCB', 'Sonia Vihar, Delhi - DPCC', 'Sri Aurobindo Marg, Delhi - DPCC', 'Vivek Vihar, Delhi - DPCC', 'Wazirpur, Delhi - DPCC']"
Hyderabad,"['site_199', 'site_262', 'site_5596', 'site_251', 'site_275', 'site_5597', 'site_5604', 'site_5599', 'site_5600', 'site_5595', 'site_5602', 'site_294', 'site_5598', 'site_298']","['Bollaram Industrial Area, Hyderabad - TSPCB', 'Central University, Hyderabad - TSPCB', 'ECIL Kapra, Hyderabad - TSPCB', 'ICRISAT Patancheru, Hyderabad - TSPCB', 'IDA Pashamylaram, Hyderabad - TSPCB', 'IITH Kandi, Hyderabad - TSPCB', 'Kokapet, Hyderabad - TSPCB', 'Kompally Municipal Office, Hyderabad - TSPCB', 'Nacharam_TSIIC IALA, Hyderabad - TSPCB', 'New Malakpet, Hyderabad - TSPCB', 'Ramachandrapuram, Hyderabad - TSPCB', 'Sanathnagar, Hyderabad - TSPCB', 'Somajiguda, Hyderabad - TSPCB', 'Zoo Park, Hyderabad - TSPCB']"
Solapur,"['site_5777', 'site_5776', 'site_302']","['Dnyaneshwar Nagar, Solapur - MPCB', 'Ratandeep Housing Society, Solapur - MPCB', 'Solapur, Solapur - MPCB']"
Bengaluru,"['site_162', 'site_164', 'site_1553', 'site_165', 'site_1554', 'site_1555', 'site_1556', 'site_5729', 'site_5681', 'site_163', 'site_5678', 'site_166', 'site_5686', 'site_1558']","['BTM Layout, Bengaluru - CPCB', 'BWSSB Kadabesanahalli, Bengaluru - CPCB', 'Bapuji Nagar, Bengaluru - KSPCB', 'City Railway Station, Bengaluru - KSPCB', 'Hebbal, Bengaluru - KSPCB', 'Hombegowda Nagar, Bengaluru - KSPCB', 'Jayanagar 5th Block, Bengaluru - KSPCB', 'Jigani, Bengaluru - KSPCB', 'Kasturi Nagar, Bengaluru - KSPCB', 'Peenya, Bengaluru - CPCB', 'RVCE-Mailasandra, Bengaluru - KSPCB', 'Sanegurava Halli, Bengaluru - KSPCB', 'Shivapura_Peenya, Bengaluru - KSPCB', 'Silk Board, Bengaluru - KSPCB']"
Mumbai,"['site_5392', 'site_5810', 'site_168', 'site_5400', 'site_5113', 'site_5960', 'site_5399', 'site_5811', 'site_5107', 'site_5120', 'site_5396', 'site_5964', 'site_5412', 'site_5962', 'site_5814', 'site_5397', 'site_5104', 'site_5402', 'site_5394', 'site_5807', 'site_5413', 'site_5398', 'site_5112', 'site_5963', 'site_5961', 'site_5403', 'site_5119', 'site_5102', 'site_5106', 'site_5115']","['Bandra Kurla Complex, Mumbai - IITM', 'Bandra Kurla Complex, Mumbai - MPCB', 'Bandra, Mumbai - MPCB', 'Borivali East, Mumbai - IITM', 'Borivali East, Mumbai - MPCB', 'Byculla, Mumbai - BMC', 'Chakala-Andheri East, Mumbai - IITM', 'Chembur, Mumbai - MPCB', 'Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB', 'Colaba, Mumbai - MPCB', 'Deonar, Mumbai - IITM', 'Ghatkopar, Mumbai - BMC', 'Kandivali East, Mumbai - MPCB', 'Kandivali West, Mumbai - BMC', 'Kherwadi_Bandra East, Mumbai - MPCB', 'Khindipada-Bhandup West, Mumbai - IITM', 'Kurla, Mumbai - MPCB', 'Malad West, Mumbai - IITM', 'Mazgaon, Mumbai - IITM', 'Mindspace-Malad West, Mumbai - MPCB', 'Mulund West, Mumbai - MPCB', 'Navy Nagar-Colaba, Mumbai - IITM', 'Powai, Mumbai - MPCB', 'Sewri, Mumbai - BMC', 'Shivaji Nagar, Mumbai - BMC', 'Siddharth Nagar-Worli, Mumbai - IITM', 'Sion, Mumbai - MPCB', 'Vasai West, Mumbai - MPCB', 'Vile Parle West, Mumbai - MPCB', 'Worli, Mumbai - MPCB']"
Sasaram,['site_5485'],"['Dada Peer, Sasaram - BSPCB']"
Motihari,['site_5478'],"['Gandak Colony, Motihari - BSPCB']"
Gaya,"['site_159', 'site_5548', 'site_5338']","['Collectorate, Gaya - BSPCB', 'Kareemganj, Gaya - BSPCB', 'SFTI Kusdihra, Gaya - BSPCB']"
Bhagalpur,"['site_5543', 'site_5541']","['DM Office_Kachari Chowk, Bhagalpur - BSPCB', 'Mayaganj, Bhagalpur - BSPCB']"
Baddi,['site_5586'],"['HIMUDA Complex Phase-1, Baddi - HPPCB']"
Moradabad,"['site_5554', 'site_5556', 'site_5537', 'site_5555', 'site_5620', 'site_1398', 'site_5613']","['Buddhi Vihar, Moradabad - UPPCB', 'Eco Herbal Park, Moradabad - UPPCB', 'Employment Office, Moradabad - UPPCB', 'Jigar Colony, Moradabad - UPPCB', 'Kashiram Nagar, Moradabad - UPPCB', 'Lajpat Nagar, Moradabad - UPPCB', 'Transport Nagar, Moradabad - UPPCB']"
Ariyalur,['site_5606'],"['Keelapalur, Ariyalur - TNPCB']"
Bhilai,"['site_5660', 'site_5536', 'site_5659']","['32Bungalows, Bhilai - CECB', 'Civic Center, Bhilai - Bhilai Steel Plant', 'Hathkhoj, Bhilai - CECB']"
Kalaburagi,"['site_1565', 'site_5679']","['Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB', 'Mahatma Basaveswar Colony, Kalaburgi - KSPCB']"
