0,1,2,3,4,5,6
40.07,83.13,23.12,32.09,17.59,0.5,87.84
42.11,77.66,22.8,34.99,18.67,0.5,77.24
42.19,91.32,23.99,37.07,19.23,0.52,54.08
46.56,117.94,26.76,37.74,20.43,0.57,49.19
41.26,89.94,25.98,45.65,20.89,0.54,74.2
29.89,49.0,24.82,49.26,21.13,0.49,67.97
21.53,29.13,24.41,47.12,22.1,0.47,74.16
20.47,21.52,22.38,44.92,22.04,0.46,64.41
20.02,27.18,21.74,44.44,19.3,0.46,57.7
18.8,29.41,24.76,47.33,22.6,0.45,76.66
17.06,31.94,23.72,50.21,23.67,0.44,78.14
16.85,24.41,21.24,49.22,24.48,0.43,69.5
14.83,25.48,21.03,46.43,23.43,0.4,83.16
14.43,21.49,20.14,44.29,22.78,0.39,64.78
13.28,30.23,20.08,46.6,23.04,0.4,48.74
15.6,40.22,20.23,46.1,23.39,0.4,27.5
20.39,34.91,21.61,44.11,23.79,0.44,30.51
25.36,34.08,22.03,38.87,22.67,0.46,49.42
25.96,28.38,23.43,32.5,21.48,0.45,63.65
26.85,39.93,32.35,29.65,5.64,0.36,75.54
24.86,38.46,23.82,36.32,8.82,0.37,79.08
21.37,40.84,22.5,35.24,11.72,0.38,80.71
25.53,57.55,22.11,35.46,13.9,0.4,79.74
27.64,63.56,22.66,31.92,15.12,0.44,68.01
29.94,67.32,22.59,34.0,16.26,0.44,62.84
26.71,50.68,27.58,45.94,15.48,0.4,50.6
19.63,42.58,24.54,47.1,18.0,0.43,39.07
17.28,36.02,23.71,43.99,20.51,0.48,27.1
22.91,37.14,24.77,33.66,21.44,0.54,17.22
28.72,40.84,25.04,35.83,22.22,0.6,18.02
31.44,50.06,24.16,43.48,23.42,0.63,30.52
31.04,41.04,21.64,43.6,24.83,0.62,48.03
31.25,33.49,20.27,41.58,21.96,0.64,51.05
29.48,34.28,18.7,36.1,24.66,0.62,50.3
29.76,33.85,20.29,36.74,23.86,0.58,49.39
26.08,35.83,18.63,42.41,24.19,0.56,51.22
18.69,39.65,16.71,43.24,25.42,0.55,49.71
22.19,34.56,16.52,41.96,26.66,0.55,45.05
22.23,38.3,17.17,41.16,26.78,0.55,44.44
22.29,42.63,17.29,40.78,25.64,0.54,37.56
35.7,45.69,19.51,43.29,25.6,0.56,39.6
42.69,50.44,19.13,44.37,25.14,0.56,45.5
42.07,49.43,18.72,41.42,24.18,0.54,53.25
51.72,59.83,23.47,31.62,21.15,0.52,72.47
45.71,67.04,24.4,34.86,18.8,0.51,75.78
41.77,69.89,19.65,37.46,20.03,0.52,76.6
40.93,76.53,20.64,36.84,22.01,0.53,76.75
40.92,79.6,22.45,37.24,23.32,0.56,76.24
38.7,77.83,24.34,37.0,23.27,0.56,62.45
41.55,98.85,26.89,37.3,23.39,0.6,39.59
51.12,130.05,28.48,46.25,24.3,0.66,21.54
58.34,129.14,28.21,43.07,24.68,0.77,4.23
64.06,148.59,27.3,40.45,24.99,0.93,3.3
79.6,208.77,25.78,31.67,24.73,1.14,3.28
93.99,208.6,25.4,31.49,24.6,1.18,3.02
97.24,196.22,29.33,36.01,21.56,1.18,3.0
98.0,167.93,25.01,36.32,24.8,1.17,3.01
102.97,163.59,21.85,35.71,24.75,1.15,3.0
104.62,156.74,19.22,29.72,24.03,1.11,10.45
91.52,162.05,19.53,31.36,23.92,1.03,6.5
74.08,128.32,21.26,35.67,23.9,0.96,3.3
63.61,81.36,19.39,36.39,24.37,0.93,3.46
60.65,65.25,19.37,36.03,24.61,0.9,3.98
52.0,76.75,21.87,30.83,24.7,0.91,6.23
79.13,319.68,23.3,29.96,24.24,0.94,29.16
97.07,287.77,26.72,32.1,24.28,0.93,76.61
24.55,41.01,23.78,32.69,18.83,0.57,108.48
23.81,39.75,22.8,33.92,19.48,0.55,101.92
22.08,37.87,22.55,34.64,20.81,0.55,93.68
23.14,45.56,21.69,37.86,21.38,0.55,76.07
26.33,64.62,24.84,37.76,21.33,0.6,36.61
31.4,108.9,27.42,38.52,21.52,0.68,14.52
46.05,143.21,27.33,39.75,22.3,0.77,13.28
61.74,160.37,27.36,37.24,22.77,0.83,6.14
71.7,173.97,26.4,36.96,22.95,0.87,16.44
89.94,184.86,25.07,38.35,19.7,0.87,19.79
123.56,197.64,24.48,38.7,22.48,0.86,19.18
135.28,195.86,22.6,38.15,22.85,0.83,20.47
135.84,175.98,22.1,35.38,23.13,0.8,31.77
135.34,172.95,20.95,35.46,23.13,0.77,28.11
136.27,162.98,20.77,37.1,22.72,0.76,23.54
139.33,166.72,20.6,36.87,22.29,0.74,21.01
135.2,157.45,20.29,38.35,22.47,0.72,22.2
127.75,146.87,20.08,35.07,21.81,0.71,39.08
72.44,72.69,23.63,34.36,18.17,0.66,54.94
112.52,116.46,23.6,29.84,15.29,0.62,74.04
87.02,112.61,21.94,31.32,16.04,0.59,85.97
59.18,99.18,20.32,32.84,17.41,0.57,94.89
36.58,78.8,19.49,30.87,18.58,0.56,94.03
40.3,61.47,19.5,31.06,19.8,0.56,92.97
26.47,61.69,20.12,29.66,20.16,0.54,95.92
20.91,63.09,20.24,29.9,20.49,0.52,93.42
25.31,64.74,19.17,31.28,20.93,0.51,85.3
23.27,58.64,20.96,30.56,19.92,0.5,65.31
25.34,68.64,21.72,31.78,20.28,0.53,53.82
35.23,81.72,22.39,33.55,20.5,0.58,39.13
50.41,114.12,26.46,34.19,20.7,0.72,10.41
97.78,184.35,28.0,34.6,21.02,0.92,8.88
159.07,257.67,27.16,32.87,21.72,1.07,5.65
221.37,333.25,25.36,30.81,18.7,1.1,7.26
214.86,297.8,24.64,30.18,21.64,1.11,30.04
194.34,233.86,23.3,30.38,21.12,1.04,34.61
165.89,168.44,22.48,31.81,20.98,0.97,35.85
153.02,160.47,21.38,32.5,21.25,0.91,31.71
122.55,149.48,21.26,31.0,21.53,0.87,6.77
109.24,153.1,20.18,28.2,21.32,0.86,6.58
108.7,159.62,21.52,26.28,21.08,0.85,22.72
105.62,130.85,23.63,26.42,20.77,0.82,44.7
101.25,101.55,25.54,30.14,21.22,0.79,82.6
67.78,133.02,24.02,28.26,19.74,0.72,109.57
78.53,150.44,22.86,24.4,20.31,0.72,123.16
64.45,137.97,23.84,25.32,20.5,0.7,132.65
60.08,118.99,22.45,28.28,21.52,0.68,131.03
58.6,91.34,21.92,28.88,23.12,0.69,121.49
53.58,61.87,21.78,29.8,24.21,0.69,105.21
49.92,121.31,22.55,28.66,24.28,0.67,89.54
45.22,124.6,23.44,29.86,23.94,0.66,76.19
52.59,145.83,22.09,32.39,23.97,0.67,59.47
56.26,165.72,23.08,30.05,24.5,0.7,52.25
65.46,169.69,24.09,30.12,24.8,0.73,29.33
67.47,173.65,24.88,30.71,24.38,0.77,31.62
65.73,171.37,25.53,32.28,23.71,0.78,31.91
63.54,127.86,25.64,33.17,20.04,0.77,46.47
62.15,109.66,24.62,31.17,23.53,0.77,28.74
64.45,98.5,23.62,30.16,23.82,0.78,29.3
57.01,95.0,22.92,29.93,23.95,0.78,38.45
62.7,97.74,22.53,30.46,23.44,0.76,48.77
64.41,109.32,21.91,33.21,23.4,0.73,59.25
62.23,105.9,20.72,32.01,23.7,0.7,56.13
62.42,98.22,21.27,30.4,24.1,0.72,48.86
64.12,75.66,22.02,28.12,24.35,0.74,60.83
63.88,67.51,23.98,27.96,22.65,0.72,82.59
63.39,73.16,23.86,29.03,19.5,0.67,93.29
60.4,71.05,21.38,26.78,15.51,0.59,103.97
59.92,77.81,20.86,25.76,13.87,0.56,107.1
54.97,83.4,20.62,25.35,15.01,0.56,107.42
50.35,90.98,21.97,24.05,15.24,0.56,99.55
52.28,101.11,21.66,25.94,13.89,0.52,100.34
55.61,106.78,18.29,32.99,12.97,0.48,104.25
49.72,116.16,18.54,36.8,13.36,0.46,108.46
56.07,122.62,22.13,41.18,13.7,0.47,88.35
52.37,150.58,24.77,38.34,15.26,0.5,78.99
50.86,158.61,23.99,39.22,15.85,0.52,78.6
55.58,154.68,21.18,44.85,17.32,0.52,68.32
61.28,198.76,19.49,42.84,19.05,0.54,59.29
59.4,132.19,18.66,41.85,19.98,0.54,57.63
61.27,147.0,20.21,37.42,16.23,0.54,44.54
67.37,82.55,20.46,39.8,19.04,0.53,61.31
59.96,200.84,18.82,41.65,20.33,0.5,36.46
60.94,274.63,19.16,38.08,20.15,0.52,11.88
58.92,406.42,20.09,37.92,20.12,0.58,5.2
62.29,161.57,22.18,38.48,20.44,0.64,11.1
75.16,84.27,24.33,34.38,21.01,0.71,27.3
76.28,100.05,25.6,30.49,21.27,0.74,47.55
76.85,104.67,28.74,25.84,20.68,0.73,87.58
69.26,112.28,27.55,27.27,20.94,0.72,90.44
57.46,67.15,24.4,26.96,20.15,0.7,90.07
45.4,69.56,16.8,15.72,16.28,0.21,88.3
48.44,106.81,27.23,38.21,2.59,0.15,73.78
48.47,95.31,23.24,45.48,4.27,0.17,75.66
46.58,104.2,23.45,45.87,6.57,0.23,60.57
48.78,142.38,23.27,47.82,9.33,0.28,34.93
47.16,190.68,25.82,48.01,11.09,0.35,15.52
58.9,206.08,28.93,46.45,12.28,0.42,17.27
66.06,217.18,29.04,45.73,13.32,0.46,17.83
58.7,234.76,26.38,45.38,14.98,0.5,34.92
63.56,219.43,21.63,31.11,16.95,0.7,43.41
67.41,179.93,20.86,34.04,20.23,0.71,21.89
69.46,171.12,21.62,34.63,20.06,0.7,12.43
79.49,230.92,21.42,34.4,20.12,0.72,3.99
87.62,222.67,20.99,30.66,20.54,0.73,3.32
88.26,162.24,21.37,29.78,20.95,0.76,7.28
78.09,101.14,22.76,30.46,20.8,0.74,19.53
73.5,82.0,22.84,32.51,20.08,0.7,32.15
72.33,99.66,22.97,30.89,19.74,0.67,34.15
69.28,120.61,30.35,21.29,13.7,0.54,46.42
69.54,131.35,28.9,13.74,2.49,0.51,63.5
62.7,157.65,26.45,36.38,6.01,0.49,78.72
56.18,167.94,27.82,35.21,8.9,0.51,98.04
61.5,201.78,26.73,38.29,12.22,0.52,103.95
62.72,222.3,23.27,31.42,13.36,0.51,109.08
55.79,224.98,21.92,31.18,12.69,0.46,105.17
54.51,255.94,19.91,31.98,15.04,0.48,91.44
60.16,264.52,20.74,34.26,16.49,0.48,88.65
64.13,260.78,21.37,34.57,17.04,0.48,68.1
65.18,260.94,22.79,38.14,17.52,0.52,29.58
73.96,264.85,24.77,36.83,18.03,0.57,37.14
65.8,241.24,23.45,36.58,18.64,0.59,46.14
62.07,193.69,23.09,35.64,18.89,0.6,34.37
55.38,173.1,23.8,35.26,19.13,0.6,35.06
43.52,152.52,22.8,36.05,16.78,0.6,31.33
42.39,126.66,22.63,33.71,19.46,0.58,38.71
39.05,109.18,20.93,33.49,19.82,0.56,35.61
35.07,104.22,19.52,33.18,19.92,0.54,29.3
34.98,101.55,18.99,33.58,20.07,0.52,28.25
32.06,87.06,17.86,34.48,20.51,0.51,32.22
34.76,82.46,17.32,32.95,20.77,0.5,30.9
31.49,69.06,17.93,31.8,21.15,0.5,25.94
40.62,64.51,18.92,32.27,21.23,0.52,19.6
73.4,111.53,22.25,31.13,21.11,0.6,27.86
90.52,122.05,21.81,29.54,20.9,0.6,50.26
66.61,105.24,20.34,25.72,21.54,0.62,60.38
17.57,104.85,21.35,25.04,21.02,0.62,73.15
53.33,171.93,22.54,26.16,12.38,0.44,96.82
50.59,165.43,19.7,29.36,13.89,0.46,84.52
50.59,166.64,19.72,31.44,15.06,0.51,57.9
50.59,170.36,23.2,32.36,16.14,0.56,44.03
50.59,175.45,23.64,41.07,17.57,0.63,25.18
50.59,178.32,23.76,36.83,18.67,0.72,6.32
50.59,191.52,24.76,34.47,19.58,0.81,3.88
50.59,184.1,26.99,28.3,16.43,0.87,3.18
50.59,166.94,26.33,30.32,19.24,0.93,18.45
50.59,143.29,24.23,33.07,19.95,0.92,16.87
50.59,137.12,22.07,31.78,20.64,0.93,6.48
50.59,137.58,21.58,30.5,20.86,0.96,3.15
50.59,154.42,21.25,27.77,20.78,0.96,4.86
50.59,191.64,20.52,29.09,20.53,0.95,3.3
50.59,216.72,20.4,31.3,20.61,0.96,7.27
50.59,226.62,21.06,29.43,20.88,0.99,28.56
50.59,224.17,23.12,27.28,21.23,0.97,66.1
50.59,189.95,25.77,22.08,21.06,0.94,76.7
50.59,184.45,29.02,23.6,20.57,0.95,96.36
50.59,205.79,31.65,27.84,20.46,0.98,119.41
50.59,212.18,29.25,28.1,21.11,0.99,124.32
43.61,177.08,25.24,27.61,21.74,0.96,114.17
9.55,144.04,23.06,23.87,21.8,0.9,113.84
65.93,111.78,22.51,23.35,21.28,0.83,119.19
56.61,103.86,21.1,26.88,21.21,0.78,108.78
54.06,108.32,21.28,28.34,21.52,0.76,135.19
57.35,133.73,22.53,28.1,21.41,0.77,111.91
79.39,158.21,21.56,26.28,21.21,0.79,77.47
110.61,181.89,23.33,25.7,20.32,0.82,63.6
131.48,201.12,25.38,27.73,19.84,0.84,48.23
130.23,222.8,24.62,32.06,19.83,0.84,44.22
127.33,199.8,22.79,29.76,16.72,0.83,43.94
140.23,197.43,23.07,26.04,19.27,0.83,26.98
151.24,190.82,23.55,24.23,18.67,0.81,31.42
149.46,176.32,23.43,25.32,18.39,0.78,33.26
135.32,164.49,22.1,31.59,18.54,0.75,36.9
111.99,160.58,22.28,28.18,18.79,0.75,10.43
129.14,177.75,22.66,26.81,18.92,0.78,8.19
160.61,210.17,23.9,23.18,18.71,0.88,8.72
179.68,244.4,25.52,23.22,18.53,0.93,30.15
156.23,248.55,26.47,25.92,18.39,0.92,45.32
141.08,240.88,26.05,24.52,16.37,0.86,67.29
88.2,156.4,24.35,52.68,11.91,0.64,129.34
57.71,115.64,22.22,55.64,11.64,0.58,121.56
38.31,80.04,20.82,59.06,11.94,0.54,123.5
41.43,63.93,20.23,59.4,13.5,0.51,121.94
32.52,61.69,18.13,51.0,13.18,0.48,118.7
38.49,68.43,21.78,57.93,13.54,0.47,99.61
41.48,95.22,28.4,83.36,15.2,0.52,51.77
49.39,135.14,31.62,92.32,17.23,0.66,15.02
